open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,volume
110.07,109.16,112.96,107.91,102966.0,1131982080.0,2023,10,27,15,0,2023-10-27 15:00,102966.0
109.22,109.68,110.69,106.88,102072.0,1111752064.0,2023,10,30,15,0,2023-10-30 15:00,102072.0
109.41,107.23,109.76,106.1,72738.0,780631936.0,2023,10,31,15,0,2023-10-31 15:00,72738.0
106.88,108.0,112.87,105.5,128417.0,1398508672.0,2023,11,1,15,0,2023-11-01 15:00,128417.0
110.0,104.75,110.76,104.62,82548.0,882502400.0,2023,11,2,15,0,2023-11-02 15:00,82548.0
104.79,109.03,109.98,104.62,106156.0,1146162176.0,2023,11,3,15,0,2023-11-03 15:00,106156.0
110.9,116.77,117.76,110.84,150221.0,1733261824.0,2023,11,6,15,0,2023-11-06 15:00,150221.0
116.39,122.82,126.49,115.5,147472.0,1799866496.0,2023,11,7,15,0,2023-11-07 15:00,147472.0
127.25,134.99,143.65,125.5,211197.0,2820234240.0,2023,11,8,15,0,2023-11-08 15:00,211197.0
132.04,132.52,144.44,132.04,163858.0,2250511616.0,2023,11,9,15,0,2023-11-09 15:00,163858.0
129.79,136.99,139.21,129.0,160863.0,2172587520.0,2023,11,10,15,0,2023-11-10 15:00,160863.0
139.01,135.19,139.63,132.6,132062.0,1783504896.0,2023,11,13,15,0,2023-11-13 15:00,132062.0
134.48,153.02,155.4,132.3,209151.0,3002181888.0,2023,11,14,15,0,2023-11-14 15:00,209151.0
150.0,151.5,163.5,147.62,231228.0,3556855296.0,2023,11,15,15,0,2023-11-15 15:00,231228.0
150.01,151.95,157.6,148.01,153810.0,2349840384.0,2023,11,16,15,0,2023-11-16 15:00,153810.0
152.6,153.7,154.33,145.09,143012.0,2145862144.0,2023,11,17,15,0,2023-11-17 15:00,143012.0
153.7,165.43,169.8,152.0,189709.0,3038259712.0,2023,11,20,15,0,2023-11-20 15:00,189709.0
163.21,155.0,167.5,155.0,129255.0,2069587456.0,2023,11,21,15,0,2023-11-21 15:00,129255.0
156.01,152.78,157.89,148.6,125801.0,1921661440.0,2023,11,22,15,0,2023-11-22 15:00,125801.0
151.93,152.03,153.23,145.38,86217.0,1291457664.0,2023,11,23,15,0,2023-11-23 15:00,86217.0
151.01,142.08,151.05,140.7,122031.0,1764740864.0,2023,11,24,15,0,2023-11-24 15:00,122031.0
139.51,144.01,146.55,139.0,103941.0,1489674368.0,2023,11,27,15,0,2023-11-27 15:00,103941.0
144.0,144.1,146.99,142.41,76526.0,1105728640.0,2023,11,28,15,0,2023-11-28 15:00,76526.0
143.03,142.8,146.97,142.4,70903.0,1024742592.0,2023,11,29,15,0,2023-11-29 15:00,70903.0
141.66,149.81,149.97,141.2,114339.0,1679681792.0,2023,11,30,15,0,2023-11-30 15:00,114339.0
149.0,155.0,156.32,147.0,123367.0,1882313472.0,2023,12,1,15,0,2023-12-01 15:00,123367.0
160.99,157.82,166.0,157.7,134826.0,2192673024.0,2023,12,4,15,0,2023-12-04 15:00,134826.0
